This takes samples from 1 FSR and the MPU6050. We got 623 samples from 1600 expected samples(200HZ sampling rate for 8 seconds) due to some I/O operations overhead which will be fixed.
However the data successfully reflected the motion performed:
1. Press fsr and imu unchanged
2.Press FSR
3. Rotate IMU (this can be perceived from accel z value changing from the gravity constant to a smaller value as well as the gyro values)
4. IMU back to original position
5. FSR released
timestamp,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_dps,gyro_y_dps,gyro_z_dps,fsr_value
1739750161.6822724,-3.6931201171875,0.28500732421875,9.3645263671875,-6.564885496183206,-3.4885496183206106,-0.7938931297709924,0
1739750161.6924267,-3.76257568359375,0.38080810546875005,9.37171142578125,-8.17557251908397,-2.0916030534351147,-1.4274809160305344,0
1739750161.7025547,-3.7793408203125,0.31374755859375003,9.18489990234375,-7.5038167938931295,-2.3206106870229006,-1.381679389312977,0
1739750161.7126827,-3.76257568359375,0.36404296875000003,9.223220214843751,-7.099236641221374,-2.5419847328244276,-0.9236641221374046,0
1739750161.7228086,-3.7793408203125,0.3400927734375,9.261540527343751,-7.793893129770993,-2.2213740458015265,-1.3511450381679388,0
1739750161.7330058,-3.70030517578125,0.3305126953125,9.244775390625,-7.5038167938931295,-3.068702290076336,-1.282442748091603,0
1739750161.7431319,-3.726650390625,0.316142578125,9.3166259765625,-7.786259541984733,-2.6717557251908395,-1.2900763358778626,0
1739750161.7532654,-3.70030517578125,0.33769775390625,9.31902099609375,-7.641221374045801,-2.5343511450381677,-1.2595419847328244,0
1739750161.76339,-3.7482055664062504,0.35206787109375004,9.25675048828125,-7.351145038167939,-2.8625954198473282,-1.3206106870229009,0
1739750161.7735257,-3.70988525390625,0.40236328125000004,9.410031738281251,-7.732824427480916,-2.4122137404580153,-1.3053435114503817,0
1739750161.7836623,-3.7314404296875003,0.30416748046875003,9.20406005859375,-9.709923664122137,-2.4732824427480917,-1.1755725190839694,0
1739750161.7937906,-3.7218603515625004,0.36643798828125,9.29507080078125,-7.419847328244275,-2.435114503816794,-1.1374045801526718,0
1739750161.8041344,-3.75299560546875,0.35685791015625,9.28070068359375,-7.67175572519084,-2.5114503816793894,-1.4580152671755726,0
1739750161.814285,-3.7218603515625004,0.32811767578125,9.225615234375,-7.6106870229007635,-2.7022900763358777,-1.3282442748091603,0
1739750161.8244123,-3.7410205078125003,0.28261230468750004,9.350156250000001,-7.755725190839694,-2.5419847328244276,-1.5038167938931297,0
1739750161.8348894,-3.6835400390625,0.33769775390625,9.302255859375,-7.7251908396946565,-2.3053435114503817,-1.099236641221374,0
1739750161.8450258,-3.745810546875,0.28021728515625,9.263935546875,-7.66412213740458,-2.8473282442748094,-1.2061068702290076,0
1739750161.855189,-3.726650390625,0.3496728515625,9.3166259765625,-7.9465648854961835,-2.4732824427480917,-1.3435114503816794,0
1739750161.8657687,-3.69551513671875,0.45744873046875,9.25196044921875,-7.694656488549619,-2.122137404580153,-1.3206106870229009,0
1739750161.8759127,-3.726650390625,0.30177246093750004,9.29507080078125,-7.450381679389313,-2.6030534351145036,-1.3358778625954197,0
1739750161.8860416,-3.71946533203125,0.31853759765625,9.3549462890625,-7.480916030534351,-2.312977099236641,-1.1068702290076335,0
1739750161.896183,-3.66677490234375,0.36643798828125,9.2591455078125,-7.786259541984733,-2.2061068702290076,-1.381679389312977,0
1739750161.9063268,-3.6907250976562502,0.3448828125,9.25675048828125,-7.3816793893129775,-2.4580152671755724,-1.1221374045801527,0
1739750161.916506,-3.83203125,0.32572265625,9.33339111328125,-7.427480916030534,-2.381679389312977,-1.1755725190839694,0
1739750161.926644,-3.77694580078125,0.3400927734375,9.335786132812501,-7.572519083969466,-2.6412213740458017,-1.2595419847328244,0
1739750161.9367697,-3.72904541015625,0.37601806640625,9.170529785156251,-7.717557251908397,-2.381679389312977,-1.3969465648854962,0
1739750161.9471295,-3.7410205078125003,0.36164794921875004,9.268725585937501,-7.6183206106870225,-2.4122137404580153,-1.213740458015267,0
1739750161.957484,-3.70030517578125,0.3305126953125,9.335786132812501,-7.480916030534351,-2.33587786259542,-1.213740458015267,0
1739750161.967632,-3.66677490234375,0.3305126953125,9.273515625,-5.877862595419847,-2.267175572519084,-1.3587786259541985,0
1739750161.977771,-3.5398388671875,0.44786865234375,9.3118359375,-8.038167938931299,-1.8549618320610688,-1.3435114503816794,0
1739750161.9879084,-3.7745507812500003,0.17004638671875,9.2399853515625,-7.519083969465649,-3.198473282442748,-1.2442748091603053,0
1739750161.998042,-3.72904541015625,0.28021728515625,9.30944091796875,-8.0,-1.465648854961832,-1.3358778625954197,0
1739750162.008508,-3.7649707031250004,0.3305126953125,9.340576171875,-7.374045801526718,-2.3893129770992365,-1.2671755725190839,0
1739750162.0191932,-3.73383544921875,0.36404296875000003,9.314230957031251,-7.625954198473282,-2.366412213740458,-1.1984732824427482,0
1739750162.0345595,-3.81526611328125,0.37362304687500003,9.398056640625,-8.091603053435115,-2.6412213740458017,-1.2290076335877862,0
1739750162.0465412,-3.822451171875,0.39517822265625,9.45314208984375,-7.633587786259542,-1.900763358778626,-1.3893129770992367,0
1739750162.0568867,-3.7506005859375002,0.3065625,9.26633056640625,-7.740458015267175,-1.9312977099236641,-1.4274809160305344,0
1739750162.0692673,-3.6835400390625,0.31853759765625,9.2351953125,-7.679389312977099,-2.450381679389313,-1.450381679389313,0
1739750162.0795963,-3.77215576171875,0.43110351562500004,9.314230957031251,-7.694656488549619,-2.366412213740458,-1.3587786259541985,0
1739750162.0898485,-3.7314404296875003,0.27542724609375,9.29986083984375,-7.702290076335878,-2.366412213740458,-1.366412213740458,0
1739750162.0999777,-3.7673657226562502,0.34727783203125,9.374106445312501,-7.488549618320611,-2.50381679389313,-1.4045801526717556,0
